申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,單價元平方公尺,車位類別,車位總價,有無管理組織,交易日期,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,建築完成年月,代表建號屋齡,代表建號層次,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,電梯,車位所在樓層,備註欄,主建物面積,附屬建物面積,陽台面積
買賣,房地(土地+建物),1,1,0,5,2,3,,透天厝,15500000,113703,,0,無,1150210,67,住,,,136.32,住商用,鋼筋混凝土造,三層,650823,49,全,0,高雄市前鎮區武慶一路１９４巷６號,前鎮區,瑞隆段三小段,,無,,,136.32,0,0
買賣,房地(土地+建物),9,1,0,3,2,2,,住宅大樓(11層含以上有電梯),5200000,37970,,0,有,1150204,25.91,住,,,136.95,住家用,鋼筋混凝土造,十二層,711228,43,六層,0,高雄市小港區平和九路７７之５號,小港區,港和段二小段,,有,,,95.87,0,8.03
買賣,土地,1,0,0,0,0,0,,其他,8085800,81675,,0,無,1150202,99,住,,,0,,,,,,,0,丹山段282-2地號,小港區,丹山段,,無,,,0,0,0
買賣,房地(土地+建物),1,1,0,1,1,1,,住宅大樓(11層含以上有電梯),1500000,37212,,0,有,1150204,3.24,商,,,40.31,住家用,鋼筋混凝土造,十二層,831103,31,四層，電梯樓梯間,0,高雄市三民區九如二路３８號四樓之６,三民區,大港段二小段,,有,,親友、員工、共有人或其他特殊關係間之交易；,30.26,0.39,0
買賣,土地,1,0,0,0,0,0,,其他,2600000,2011,,0,無,1150210,1292.64,,一般農業區,農牧用地,0,,,,,,,0,新興段457地號,梓官區,新興段,,無,,親友、員工、共有人或其他特殊關係間之交易；,0,0,0
買賣,房地(土地+建物),3,1,0,3,2,1,,透天厝,2875466,39716,,0,無,1150203,580.79,,鄉村區,乙種建築用地,72.4,農業用,加強磚造,一層,800930,34,全,0,高雄市杉林區司馬路５８巷８號,杉林區,司馬段,,無,,申報價內含買方負擔之土地增值稅375466元.含土地增值稅或其他稅費375466元；,72.4,0,0
買賣,土地,2,0,0,0,0,0,,其他,800000,6224,,0,無,1150202,128.53,都市：其他:住宅區,,,0,,,,,,,0,金平段1094地號,路竹區,金平段,,無,,親友、員工、共有人或其他特殊關係間之交易；,0,0,0
買賣,土地,2,0,0,0,0,0,,其他,7700000,8922,,0,無,1150203,863,,特定農業區,農牧用地,0,,,,,,,0,美濃段4772地號,美濃區,美濃段,,無,,個別土地有個別交易價格：美濃段4771-0000地號3800000元；美濃段4772-0000地號3900000元親友、員工、共有人或其他特殊關係間之交易；,0,0,0
買賣,房地(土地+建物),2,1,0,4,2,3,,透天厝,1475738,14681,,0,無,1150206,139.91,住,,,100.52,住商用,鋼筋混凝土造,二層,700114,45,全,0,高雄市美濃區自強街一段４２２號,美濃區,雙峰段,,無,,親友、員工、共有人或其他特殊關係間之交易；,100.52,0,0
買賣,房地(土地+建物),1,1,0,1,1,1,,住宅大樓(11層含以上有電梯),3960000,75014,,0,有,1150211,4.27,商,,,52.79,住家用,鋼筋混凝土造,十六層,850705,30,五層,0,高雄市楠梓區加昌路７７５號五樓,楠梓區,莒光段一小段,,有,,,36.56,1.09,3.43
買賣,土地,1,0,0,0,0,0,,其他,990,0,,0,無,1150223,0.33,,特定農業區,甲種建築用地,0,,,,,,,0,龍肚段5027地號,美濃區,龍肚段,,無,,,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,2483927,13427,,0,無,1150206,185,農,,,0,,,,,,,0,林子邊段一小段1-16地號,林園區,林子邊段一小段,,無,,,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,5280000,70400,,0,無,1150212,75,都市：其他:道路用地,,,0,,,,,,,0,龍華段二小段754地號,鼓山區,龍華段二小段,,無,,包含公共設施保留地用地；,0,0,0
買賣,房地(土地+建物),1,1,0,3,2,1,,住宅大樓(11層含以上有電梯),5380000,72390,,0,無,1150205,15.55,住,,,74.32,住家用,鋼筋混凝土造,十二層,710317,44,三層,0,高雄市鼓山區九如四路１９９０巷１弄４號 三樓之一,鼓山區,前峰段,,有,,,74.32,0,0
買賣,土地,2,0,0,0,0,0,,其他,8978697,118141,,0,無,1150212,76,都市：其他:道路用地,,,0,,,,,,,0,新興段四小段2271地號,新興區,新興段四小段,,無,,包含公共設施保留地用地；,0,0,0
買賣,房地(土地+建物),2,1,0,3,2,1,,公寓(5樓含以下無電梯),3400000,44549,,0,無,1150202,22.16,住,,,76.32,住家用,鋼筋混凝土結構造,五層,680908,46,四層,0,高雄市苓雅區建國一路７２巷１弄９之３號,苓雅區,正言段,,無,,含傢俱設備費；,62.33,4.81,9.18
買賣,土地,1,0,0,0,0,0,,其他,5294250,50321,,0,無,1150202,105.21,都市：其他:道路用地,,,0,,,,,,,0,灣復段9地號,三民區,灣復段,,無,,包含公共設施保留地用地；,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,5294250,50321,,0,無,1150204,105.21,都市：其他:道路用地,,,0,,,,,,,0,灣復段9地號,三民區,灣復段,,無,,包含公共設施保留地用地；,0,0,0
買賣,房地(土地+建物),1,1,0,5,1,3,,透天厝,12000000,121544,,0,無,1150204,55.97,住,,,98.73,住商用,鋼筋混凝土造,二層,780718,37,全,0,高雄市楠梓區清豐三路２３號,楠梓區,清豐段,,無,,,93.21,0,5.52
